242.25	2.045916238	0.02341987	2.484465013	-0.031013181	-0.239837374
252.756	2.046967696	-0.246277698	2.34978254	0.227551761	-0.253647671
269.756	1.853205071	-0.553030524	1.159784345	0.381725131	-0.063900696
286.756	1.659442446	-0.85978335	-0.03021385	0.5358985	0.125846279
303.756	1.320204636	-0.891441221	-1.409303071	0.241105313	0.311902772
320.756	0.988671169	-0.81784551	-2.265618537	-0.192922391	0.332559073
337.756	0.700329822	-0.655356695	-2.488852602	-0.545330593	0.182514505
354.756	0.482846428	-0.547935446	-2.175817278	-0.674188497	-0.069176905
371.756	0.295064254	-0.309093742	-1.563072571	-0.634414255	-0.23529629
388.756	0.155638316	-0.154454188	-0.834562143	-0.41027803	-0.334475629
414.256	0.015265019	-0.013915723	-0.076554722	-0.041761296	-0.066643702
439.756	-0.131810597	0.085178099	0.428208794	0.256247323	0.629788174
461.006	-0.153728801	0.129550442	0.409285417	0.216594729	0.537259625
482.256	-0.057736822	0.032387354	0.147775571	0.090507726	0.20523245
